Condition,,,,,,,
,abatement-age,"search parameter",abatement-age,show,quantity,,"Abatement as age or age range"
,abatement-date,"search parameter",abatement-date,show,date,,"Date-related abatements (dateTime and period)"
,abatement-string,"search parameter",abatement-string,show,string,,"Abatement as a string"
,abatement[x],column,Abatement,hide,"dateTime,Age,Period,Range,string",,"When in resolution/remission"
,body-site,"search parameter",body-site,show,CodeableConcept,,"Anatomical location, if relevant"
,bodySite,column,"Body Site",hide,CodeableConcept,,"Anatomical location, if relevant"
,category,"search parameter",category,show,CodeableConcept,,"The category of the condition"
,category,column,Category,hide,CodeableConcept,,"problem-list-item | encounter-diagnosis"
,clinical-status,"search parameter",clinical-status,show,CodeableConcept,,"The clinical status of the condition"
,clinicalStatus,column,"Clinical Status",show,CodeableConcept,,"active | recurrence | relapse | inactive | remission | resolved | unknown"
,code,"search parameter",code,show,CodeableConcept,,"Code for the condition"
,code,column,Code,show,CodeableConcept,,"Identification of the condition, problem or diagnosis"
,encounter,"search parameter",encounter,show,reference,,"The Encounter during which this Condition was created"
,encounter,column,Encounter,show,Reference,,"The Encounter during which this Condition was created"
,evidence,"search parameter",evidence,show,CodeableConcept,,Manifestation/symptom
,evidence,column,Evidence,hide,CodeableReference,,"Supporting evidence for the verification status"
,evidence-detail,"search parameter",evidence-detail,show,reference,,"Supporting information found elsewhere"
,id,column,Id,show,string,,
,identifier,"search parameter",identifier,show,Identifier,,"A unique identifier of the condition record"
,identifier,column,Identifier,hide,Identifier,,"External Ids for this condition"
,note,column,Note,hide,Annotation,,"Additional information about the Condition"
,onset-age,"search parameter",onset-age,show,quantity,,"Onsets as age or age range"
,onset-date,"search parameter",onset-date,show,date,,"Date related onsets (dateTime and Period)"
,onset-info,"search parameter",onset-info,show,string,,"Onsets as a string"
,onset[x],column,Onset,hide,"dateTime,Age,Period,Range,string",,"Estimated or actual date,  date-time, or age"
,participant,column,Participant,hide,BackboneElement,,"Who or what participated in the activities related to the condition and how they were involved"
,participant-actor,"search parameter",participant-actor,show,reference,,"Who or what participated in the activities related to the condition"
,participant-function,"search parameter",participant-function,show,CodeableConcept,,"Type of involvement of the actor in the activities related to the condition"
,patient,"search parameter",patient,show,Patient,,"Who has the condition?"
,recorded-date,"search parameter",recorded-date,show,date,,"Date record was first recorded"
,recordedDate,column,"Recorded Date",show,dateTime,,"Date condition was first recorded"
,severity,"search parameter",severity,show,CodeableConcept,,"The severity of the condition"
,severity,column,Severity,hide,CodeableConcept,,"Subjective severity of condition"
,stage,"search parameter",stage,show,CodeableConcept,,"Simple summary (disease specific)"
,stage,column,Stage,hide,BackboneElement,,"Stage/grade, usually assessed formally"
,subject,"search parameter",subject,show,reference,,"Who has the condition?"
,subject,column,Subject,show,Reference,,"Who has the condition?"
,verification-status,"search parameter",verification-status,show,CodeableConcept,,"unconfirmed | provisional | differential | confirmed | refuted | entered-in-error"
,verificationStatus,column,"Verification Status",hide,CodeableConcept,,"unconfirmed | provisional | differential | confirmed | refuted | entered-in-error"
Encounter,,,,,,,
,account,"search parameter",account,show,reference,,"The set of accounts that may be used for billing for this Encounter"
,account,column,Account,hide,Reference,,"The set of accounts that may be used for billing for this Encounter"
,actualPeriod,column,"Actual Period",show,Period,,"The actual start and end time of the encounter"
,admission,column,Admission,hide,BackboneElement,,"Details about the admission to a healthcare service"
,appointment,"search parameter",appointment,show,reference,,"The appointment that scheduled this encounter"
,appointment,column,Appointment,hide,Reference,,"The appointment that scheduled this encounter"
,based-on,"search parameter",based-on,show,reference,,"The ServiceRequest that initiated this encounter"
,basedOn,column,"Based On",hide,Reference,,"The request that initiated this encounter"
,careteam,"search parameter",careteam,show,reference,,"Careteam allocated to participate in the encounter"
,careTeam,column,"Care Team",hide,Reference,,"The group(s) that are allocated to participate in this encounter"
,class,"search parameter",class,show,CodeableConcept,,"Classification of patient encounter"
,class,column,Class,show,CodeableConcept,,"Classification of patient encounter context - e.g. Inpatient, outpatient"
,date,"search parameter",date,show,date,,"A date within the actualPeriod the Encounter lasted"
,date-start,"search parameter",date-start,show,date,,"The actual start date of the Encounter"
,diagnosis,column,Diagnosis,hide,BackboneElement,,"The list of diagnosis relevant to this encounter"
,diagnosis-code,"search parameter",diagnosis-code,show,CodeableConcept,,"The diagnosis or procedure relevant to the encounter (coded)"
,diagnosis-reference,"search parameter",diagnosis-reference,show,reference,,"The diagnosis or procedure relevant to the encounter (resource reference)"
,dietPreference,column,"Diet Preference",hide,CodeableConcept,,"Diet preferences reported by the patient"
,end-date,"search parameter",end-date,show,date,,"The actual end date of the Encounter"
,episode-of-care,"search parameter",episode-of-care,show,reference,,"Episode(s) of care that this encounter should be recorded against"
,episodeOfCare,column,"Episode Of Care",hide,Reference,,"Episode(s) of care that this encounter should be recorded against"
,id,column,Id,show,string,,
,identifier,"search parameter",identifier,show,Identifier,,"Identifier(s) by which this encounter is known"
,identifier,column,Identifier,hide,Identifier,,"Identifier(s) by which this encounter is known"
,length,"search parameter",length,show,quantity,,"Length of encounter in days"
,length,column,Length,hide,Duration,,"Actual quantity of time the encounter lasted (less time absent)"
,location,"search parameter",location,show,reference,,"Location the encounter takes place"
,location,column,Location,hide,BackboneElement,,"List of locations where the patient has been"
,location-period,"search parameter",location-period,show,composite,,"Time period during which the patient was present at the location"
,part-of,"search parameter",part-of,show,reference,,"Another Encounter this encounter is part of"
,participant,"search parameter",participant,show,reference,,"Persons involved in the encounter other than the patient"
,participant,column,Participant,hide,BackboneElement,,"List of participants involved in the encounter"
,participant-type,"search parameter",participant-type,show,CodeableConcept,,"Role of participant in encounter"
,partOf,column,"Part Of",hide,Reference,,"Another Encounter this encounter is part of"
,patient,"search parameter",patient,show,Patient,,"The patient present at the encounter"
,plannedEndDate,column,"Planned End Date",hide,dateTime,,"The planned end date/time (or discharge date) of the encounter"
,plannedStartDate,column,"Planned Start Date",hide,dateTime,,"The planned start date/time (or admission date) of the encounter"
,practitioner,"search parameter",practitioner,show,Practitioner,,"Persons involved in the encounter other than the patient"
,priority,column,Priority,hide,CodeableConcept,,"Indicates the urgency of the encounter"
,reason,column,Reason,hide,BackboneElement,,"The list of medical reasons that are expected to be addressed during the episode of care"
,reason-code,"search parameter",reason-code,show,CodeableConcept,,"Reference to a concept (coded)"
,reason-reference,"search parameter",reason-reference,show,reference,,"Reference to a resource (resource reference)"
,service-provider,"search parameter",service-provider,show,reference,,"The organization (facility) responsible for this encounter"
,serviceProvider,column,"Service Provider",hide,Reference,,"The organization (facility) responsible for this encounter"
,serviceType,column,"Service Type",hide,CodeableReference,,"Specific type of service"
,special-arrangement,"search parameter",special-arrangement,show,CodeableConcept,,"Wheelchair, translator, stretcher, etc."
,specialArrangement,column,"Special Arrangement",hide,CodeableConcept,,"Wheelchair, translator, stretcher, etc"
,specialCourtesy,column,"Special Courtesy",hide,CodeableConcept,,"Special courtesies (VIP, board member)"
,status,"search parameter",status,show,code,,"planned | in-progress | on-hold | completed | cancelled | entered-in-error | unknown"
,status,column,Status,show,code,,"planned | in-progress | on-hold | discharged | completed | cancelled | discontinued | entered-in-error | unknown"
,subject,"search parameter",subject,show,reference,,"The patient or group present at the encounter"
,subject,column,Subject,show,Reference,,"The patient or group related to this encounter"
,subject-status,"search parameter",subject-status,show,CodeableConcept,,"The current status of the subject in relation to the Encounter"
,subjectStatus,column,"Subject Status",hide,CodeableConcept,,"The current status of the subject in relation to the Encounter"
,type,"search parameter",type,show,CodeableConcept,,"Specific type of encounter"
,type,column,Type,hide,CodeableConcept,,"Specific type of encounter (e.g. e-mail consultation, surgical day-care, ...)"
,virtualService,column,"Virtual Service",hide,VirtualServiceDetail,,"Connection details of a virtual service (e.g. conference call)"
MedicationDispense,,,,,,,
,authorizingPrescription,column,"Authorizing Prescription",hide,Reference,,"Medication order that authorizes the dispense"
,basedOn,column,"Based On",hide,Reference,,"Plan that is fulfilled by this dispense"
,category,column,Category,hide,CodeableConcept,,"Type of medication dispense"
,code,"search parameter",code,show,CodeableConcept,,"Returns dispenses of this medicine code"
,daysSupply,column,"Days Supply",show,Quantity,,"Amount of medication expressed as a timing amount"
,destination,"search parameter",destination,show,reference,,"Returns dispenses that should be sent to a specific destination"
,destination,column,Destination,hide,Reference,,"Where the medication was/will be sent"
,dosageInstruction,column,"Dosage Instruction",hide,Dosage,,"How the medication is to be used by the patient or administered by the caregiver"
,encounter,"search parameter",encounter,show,reference,,"Returns dispenses with a specific encounter"
,encounter,column,Encounter,hide,Reference,,"Encounter associated with event"
,eventHistory,column,"Event History",hide,Reference,,"A list of relevant lifecycle events"
,id,column,Id,show,string,,
,identifier,"search parameter",identifier,show,Identifier,,"Returns dispenses with this external identifier"
,identifier,column,Identifier,hide,Identifier,,"External identifier"
,location,"search parameter",location,show,reference,,"Returns dispense for a given location"
,location,column,Location,hide,Reference,,"Where the dispense occurred"
,medication,"search parameter",medication,show,reference,,"Returns dispenses of this medicine resource"
,medication,column,Medication,hide,CodeableReference,,"What medication was supplied"
,note,column,Note,hide,Annotation,,"Information about the dispense"
,notPerformedReason,column,"Not Performed Reason",hide,CodeableReference,,"Why a dispense was not performed"
,partOf,column,"Part Of",hide,Reference,,"Event that dispense is part of"
,patient,"search parameter",patient,show,Patient,,"The identity of a patient to list dispenses  for"
,performer,"search parameter",performer,show,reference,,"Returns dispenses performed by a specific individual"
,performer,column,Performer,hide,BackboneElement,,"Who performed event"
,prescription,"search parameter",prescription,show,reference,,"The identity of a prescription to list dispenses from"
,quantity,column,Quantity,show,Quantity,,"Amount dispensed"
,receiver,"search parameter",receiver,show,reference,,"The identity of a receiver to list dispenses for"
,receiver,column,Receiver,hide,Reference,,"Who collected the medication or where the medication was delivered"
,recorded,"search parameter",recorded,show,date,,"Returns dispenses where dispensing activity began on this date"
,recorded,column,Recorded,hide,dateTime,,"When the recording of the dispense started"
,renderedDosageInstruction,column,"Rendered Dosage Instruction",hide,markdown,,"Full representation of the dosage instructions"
,responsibleparty,"search parameter",responsibleparty,show,reference,,"Returns dispenses with the specified responsible party"
,status,"search parameter",status,show,code,,"Returns dispenses with a specified dispense status"
,status,column,Status,show,code,,"preparation | in-progress | cancelled | on-hold | completed | entered-in-error | stopped | declined | unknown"
,statusChanged,column,"Status Changed",hide,dateTime,,"When the status changed"
,subject,"search parameter",subject,show,reference,,"The identity of a patient for whom to list dispenses"
,subject,column,Subject,show,Reference,,"Who the dispense is for"
,substitution,column,Substitution,hide,BackboneElement,,"Whether a substitution was performed on the dispense"
,supportingInformation,column,"Supporting Information",hide,Reference,,"Information that supports the dispensing of the medication"
,type,"search parameter",type,show,CodeableConcept,,"Returns dispenses of a specific type"
,type,column,Type,hide,CodeableConcept,,"Trial fill, partial fill, emergency fill, etc"
,whenhandedover,"search parameter",whenhandedover,show,date,,"Returns dispenses handed over on this date"
,whenHandedOver,column,"When Handed Over",hide,dateTime,,"When product was given out"
,whenprepared,"search parameter",whenprepared,show,date,,"Returns dispenses prepared on this date"
,whenPrepared,column,"When Prepared",show,dateTime,,"When product was packaged and reviewed"
Observation,,,,,,,
,"code text","search parameter","variable name",show,,,"The display text associated with the code of the observation type"
,"observation value","search parameter","variable value",show,,,"The value of the observation"
,basedOn,column,"Based On",hide,Reference,,"Fulfills plan, proposal or order"
,bodySite,column,"Body Site",hide,CodeableConcept,,"Observed body part"
,bodyStructure,column,"Body Structure",hide,Reference,,"Observed body structure"
,category,"search parameter",category,show,CodeableConcept,,"The classification of the type of observation"
,category,column,Category,show,CodeableConcept,,"Classification of  type of observation"
,codeText,column,"Variable Name",show,CodeableConcept,code,"Type of observation (code / type)"
,component,column,Component,hide,BackboneElement,,"Component results"
,dataAbsentReason,column,"Data Absent Reason",hide,CodeableConcept,,"Why the result is missing"
,date,"search parameter",date,show,date,,"Clinically relevant time/time-period for observation"
,derivedFrom,column,"Derived From",hide,Reference,,"Related resource from which the observation is made"
,device,column,Device,hide,Reference,,"A reference to the device that generates the measurements or the device settings for the device"
,effective[x],column,Effective,hide,"dateTime,Period,Timing,instant",,"Clinically relevant time/time-period for observation"
,encounter,column,Encounter,hide,Reference,,"Healthcare event during which this observation is made"
,focus,column,Focus,hide,Reference,,"What the observation is about, when it is not about the subject of record"
,hasMember,column,"Has Member",hide,Reference,,"Related resource that belongs to the Observation group"
,id,column,Id,show,string,,
,identifier,column,Identifier,hide,Identifier,,"Business Identifier for observation"
,interpretation,column,Interpretation,show,CodeableConcept,,"High, low, normal, etc"
,issued,column,Issued,hide,instant,,"Date/Time this version was made available"
,method,column,Method,hide,CodeableConcept,,"How it was done"
,note,column,Note,hide,Annotation,,"Comments about the observation"
,partOf,column,"Part Of",hide,Reference,,"Part of referenced event"
,performer,column,Performer,hide,Reference,,"Who is responsible for the observation"
,referenceRange,column,"Reference Range",hide,BackboneElement,,"Provides guide for interpretation"
,specimen,column,Specimen,hide,Reference,,"Specimen used for this observation"
,status,"search parameter",status,show,code,,"The status of the observation"
,status,column,Status,show,code,,"registered | preliminary | final | amended +"
,subject,column,Subject,show,Reference,,"Who and/or what the observation is about"
,triggeredBy,column,"Triggered By",hide,BackboneElement,,"Triggering observation(s)"
,value[x],column,Value,show,"Quantity,CodeableConcept,string,boolean,integer,Range,Ratio,SampledData,time,dateTime,Period,Attachment,Reference",,"Actual result"
Patient,,,,,,,
,active,"search parameter",active,show,boolean,,"Whether the patient record is active"
,active,column,Active,show,boolean,,"Whether this patient's record is in active use"
,address,"search parameter",address,show,string,,"A server defined search that may match any of the string fields in the Address, including line, city, district, state, country, postalCode, and/or text"
,address,column,Address,show,Address,,"An address for the individual"
,address-city,"search parameter",address-city,show,string,,"A city specified in an address"
,address-country,"search parameter",address-country,show,string,,"A country specified in an address"
,address-postalcode,"search parameter",address-postalcode,show,string,,"A postalCode specified in an address"
,address-state,"search parameter",address-state,show,string,,"A state specified in an address"
,address-use,"search parameter",address-use,show,code,,"A use code specified in an address"
,birthdate,"search parameter",birthdate,show,date,,"The patient's date of birth"
,birthDate,column,"Birth Date",show,date,,"The date of birth for the individual"
,communication,column,Communication,hide,BackboneElement,,"A language which may be used to communicate with the patient about his or her health"
,contact,column,Contact,hide,BackboneElement,,"A contact party (e.g. guardian, partner, friend) for the patient"
,death-date,"search parameter",death-date,show,date,,"The date of death has been provided and satisfies this search value"
,deceased,"search parameter",deceased,show,boolean,,"This patient has been marked as deceased, or has a death date entered"
,deceased[x],column,Deceased,hide,"boolean,dateTime",,"Indicates if the individual is deceased or not"
,email,"search parameter",email,show,ContactPoint,,"A value in an email contact"
,family,"search parameter",family,show,string,,"A portion of the family name of the patient"
,gender,"search parameter",gender,show,code,,"Gender of the patient"
,gender,column,Gender,show,code,,"male | female | other | unknown"
,general-practitioner,"search parameter",general-practitioner,show,reference,,"Patient's nominated general practitioner, not the organization that manages the record"
,generalPractitioner,column,"General Practitioner",hide,Reference,,"Patient's nominated primary care provider"
,given,"search parameter",given,show,string,,"A portion of the given name of the patient"
,id,column,Id,show,string,,
,identifier,"search parameter",identifier,show,Identifier,,"A patient identifier"
,identifier,column,Identifier,hide,Identifier,,"An identifier for this patient"
,language,"search parameter",language,show,CodeableConcept,,"Language code (irrespective of use value)"
,link,"search parameter",link,show,reference,,"All patients/related persons linked to the given patient"
,link,column,Link,hide,BackboneElement,,"Link to a Patient or RelatedPerson resource that concerns the same actual individual"
,managingOrganization,column,"Managing Organization",hide,Reference,,"Organization that is the custodian of the patient record"
,maritalStatus,column,"Marital Status",hide,CodeableConcept,,"Marital (civil) status of a patient"
,multipleBirth[x],column,"Multiple Birth",hide,"boolean,integer",,"Whether patient is part of a multiple birth"
,name,"search parameter",name,show,string,,"A server defined search that may match any of the string fields in the HumanName, including family, given, prefix, suffix, and/or text"
,name,column,Name,show,HumanName,,"A name associated with the patient"
,organization,"search parameter",organization,show,reference,,"The organization that is the custodian of the patient record"
,phone,"search parameter",phone,show,ContactPoint,,"A value in a phone contact"
,phonetic,"search parameter",phonetic,show,string,,"A portion of either family or given name using some kind of phonetic matching algorithm"
,photo,column,Photo,hide,Attachment,,"Image of the patient"
,telecom,"search parameter",telecom,show,ContactPoint,,"The value in any kind of telecom details of the patient"
,telecom,column,Telecom,hide,ContactPoint,,"A contact detail for the individual"
ResearchStudy,,,,,,,
,associatedParty,column,"Associated Party",hide,BackboneElement,,"Sponsors, collaborators, and other parties"
,classifier,"search parameter",classifier,show,CodeableConcept,,"Classification for the study"
,classifier,column,Classifier,hide,CodeableConcept,,"Classification for the study"
,comparisonGroup,column,"Comparison Group",hide,BackboneElement,,"Defined path through the study for a subject"
,condition,"search parameter",condition,show,CodeableConcept,,"Condition being studied"
,condition,column,Condition,hide,CodeableConcept,,"Condition being studied"
,date,"search parameter",date,show,date,,"When the study began and ended"
,date,column,Date,hide,dateTime,,"Date the resource last changed"
,description,"search parameter",description,show,string,,"Detailed narrative of the study"
,description,column,Description,hide,markdown,,"Detailed narrative of the study"
,descriptionSummary,column,"Description Summary",hide,markdown,,"Brief text explaining the study"
,eligibility,"search parameter",eligibility,show,reference,,"Inclusion and exclusion criteria"
,focus,column,Focus,hide,CodeableReference,,"Drugs, devices, etc. under study"
,focus-code,"search parameter",focus-code,show,CodeableConcept,,"Drugs, devices, etc. under study, as a code"
,focus-reference,"search parameter",focus-reference,show,reference,,"Drugs, devices, etc. under study, as a reference"
,id,column,Id,show,string,,
,identifier,"search parameter",identifier,show,Identifier,,"Business Identifier for study"
,identifier,column,Identifier,hide,Identifier,,"Business Identifier for study"
,keyword,"search parameter",keyword,show,CodeableConcept,,"Used to search for the study"
,keyword,column,Keyword,hide,CodeableConcept,,"Used to search for the study"
,label,column,Label,hide,BackboneElement,,"Additional names for the study"
,name,"search parameter",name,show,string,,"Name for this study"
,name,column,Name,hide,string,,"Name for this study (computer friendly)"
,note,column,Note,hide,Annotation,,"Comments made about the study"
,objective,column,Objective,hide,BackboneElement,,"A goal for the study"
,objective-description,"search parameter",objective-description,show,string,,"Free text description of the objective of the study"
,objective-type,"search parameter",objective-type,show,CodeableConcept,,"The kind of study objective"
,outcomeMeasure,column,"Outcome Measure",hide,BackboneElement,,"A variable measured during the study"
,part-of,"search parameter",part-of,show,reference,,"Part of larger study"
,partOf,column,"Part Of",hide,Reference,,"Part of larger study"
,period,column,Period,hide,Period,,"When the study began and ended"
,phase,"search parameter",phase,show,CodeableConcept,,"The stage in the progression of a study"
,phase,column,Phase,hide,CodeableConcept,,"n-a | early-phase-1 | phase-1 | phase-1-phase-2 | phase-2 | phase-2-phase-3 | phase-3 | phase-4"
,primaryPurposeType,column,"Primary Purpose Type",hide,CodeableConcept,,"treatment | prevention | diagnostic | supportive-care | screening | health-services-research | basic-science | device-feasibility"
,progress-status-state-actual,"search parameter",progress-status-state-actual,show,composite,,"Status of study by state and actual"
,progress-status-state-period,"search parameter",progress-status-state-period,show,composite,,"Status of study by state and period"
,progress-status-state-period-actual,"search parameter",progress-status-state-period-actual,show,composite,,"Status of study by state, period and actual"
,progressStatus,column,"Progress Status",hide,BackboneElement,,"Status of study with time for that status"
,protocol,"search parameter",protocol,show,reference,,"Steps followed in executing study"
,protocol,column,Protocol,show,Reference,,"Steps followed in executing study"
,recruitment,column,Recruitment,hide,BackboneElement,,"Target or actual group of participants enrolled in study"
,recruitment-actual,column,"# of participants",show,unsignedInt,recruitment.actualNumber,"Actual total number of participants enrolled in study"
,recruitment-actual,"search parameter",recruitment-actual,show,number,,"Actual number of participants enrolled in study across all groups"
,recruitment-target,"search parameter",recruitment-target,show,number,,"Target number of participants enrolled in study across all groups"
,region,"search parameter",region,show,CodeableConcept,,"Geographic area for the study"
,region,column,Region,hide,CodeableConcept,,"Geographic area for the study"
,relatedArtifact,column,"Related Artifact",hide,RelatedArtifact,,"References, URLs, and attachments"
,result,column,Result,hide,Reference,,"Link to results generated during the study"
,site,"search parameter",site,show,reference,,"Facility where study activities are conducted"
,site,column,Site,hide,Reference,,"Facility where study activities are conducted"
,status,"search parameter",status,show,code,,"active | active-but-not-recruiting | administratively-completed | approved | closed-to-accrual | closed-to-accrual-and-intervention | completed | disapproved | enrolling-by-invitation | in-review | not-yet-recruiting | recruiting | temporarily-closed-to-accrual | temporarily-closed-to-accrual-and-intervention | terminated | withdrawn"
,status,column,Status,show,code,,"draft | active | retired | unknown"
,study-design,"search parameter",study-design,show,CodeableConcept,,"Classifications of the study design characteristics"
,studyDesign,column,"Study Design",hide,CodeableConcept,,"Classifications of the study design characteristics"
,title,"search parameter",title,show,string,,"The human readable name of the research study"
,title,column,Title,show,string,,"Human readable name of the study"
,url,column,Url,hide,uri,,"Canonical identifier for this study resource"
,version,column,Version,hide,string,,"The business version for the study record"
,whyStopped,column,"Why Stopped",hide,CodeableConcept,,"accrual-goal-met | closed-due-to-toxicity | closed-due-to-lack-of-study-progress | temporarily-closed-per-study-design"